Name,Acquried Date,Fund1,Date1,investor11,investor12,investor13,fund2,date2,investor21,investor22,investor23,fund3,date3,investor31,investor32,investor33
INDIO,Not Acquired,$6M Series A,FEB '18,Merus Capital,8VC,N/A,$20M Series B,MAY '19,Menlo Ventures,8VC,N/A,N/A,N/A,N/A,N/A,N/A
MANAGED BY Q,MAY '19,$25M Series B,APR '16,GV,Kapor Capital,N/A,$30.5M Series C,DEC '16,GV,Homebrew,N/A,N/A,N/A,N/A,N/A,N/A
LENDA,APR '19,$1.5M Seed,OCT '14,Structure Capital,Winklevoss Capital,N/A,$2M Seed,NOV '15,Rubicon Venture Capital,500 Startups,N/A,READ PRESS,N/A,N/A,N/A,N/A
BUNCH,Not Acquired,$3.8M Seed,APR '19,Founders Fund,London Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POLYMORPH,APR '19,$2M Seed,APR '14,Foundry Group,MDC Ventures (formerly KBS Ventures),N/A,$8.5M Series A,SEP '15,InterWest Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SELLBRITE,APR '19,$300K Seed,AUG '15,N/A,N/A,N/A,$200K Seed,JUN '17,Armando Biondi,N/A,N/A,READ PRESS,N/A,N/A,N/A,N/A
CONTACTUALLY,APR '19,$2M Seed,NOV '14,Crystal Tech Fund,500 Startups,N/A,$8M Series A,NOV '15,Rally Ventures,Correlation Ventures,N/A,N/A,N/A,N/A,N/A,N/A
LOUNGEBUDDY,APR '19,$3M Round,FEB '15,Founders Fund,N/A,N/A,READ PRESS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PADLET,Not Acquired,$1.7M Seed,SEP '15,Sumon Sadhu,Jeff Epstein,N/A,$11M Series A,APR '19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USER INTERVIEWS,Not Acquired,$5M Seed,MAR '19,Accomplice,FJ Labs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ITERABLE,Not Acquired,$1.2M Seed,JAN '15,Merus Capital,500 Startups,N/A,$8M Series A,JAN '16,N/A,N/A,N/A,$23M Round,DEC '16,Index Ventures,CRV,N/A
AMITREE,Not Acquired,$7.1M Series A,MAR '17,Accel,AME Cloud Ventures,N/A,$9.3M Series B,MAR '19,Accel,AME Cloud Ventures,N/A,N/A,N/A,N/A,N/A,N/A
ALTO IRA,Not Acquired,$2.8M Series A,MAR '19,Foundation Capital,Amplify.LA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OVERTIME,Not Acquired,$2.5M Seed,FEB '18,Greycroft Partners,N/A,N/A,$9.5M Series A,FEB '18,Andreessen Horowitz,Greycroft Partners,N/A,$23M Series B,FEB '19,Andreessen Horowitz,Spark Capital,N/A
POLLY,Not Acquired,$1.2M Seed,AUG '16,Amplify Partners,N/A,N/A,$7M Series A,FEB '19,Madrona Venture Group,Amplify Partners,N/A,N/A,N/A,N/A,N/A,N/A
CRAYON,Not Acquired,$1.5M Seed,APR '15,Converge Venture Partners,Dharmesh Shah,N/A,$3.4M Seed,NOV '16,Founder Collective,Baseline Ventures,N/A,$5M Seed,APR '18,Baseline Ventures,Founder Collective,N/A
TRIPPING.COM,JAN '19,$16M Series B,JUL '15,Enspire Capital,Azure Capital Partners,N/A,$35M Series C,DEC '16,Erik Blachford,Fritz Demopoulos,N/A,N/A,N/A,N/A,N/A,N/A
BOOM,Not Acquired,$100M Series B,JAN '19,Y Combinator,Caffeinated Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZYMERGEN,Not Acquired,$2M Seed,MAR '14,Jenny Rooke,N/A,N/A,$44M Series A,JUN '15,Innovation Endeavors,Data Collective,N/A,$130M Series B,OCT '16,SoftBank Capital,True Ventures,N/A
SAY MEDIA,Not Acquired,$257K Round,DEC '14,Justin Kan,Sean Glass,N/A,$20M Acquisition,DEC '18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YAYPAY,Not Acquired,$5.3M Seed,SEP '17,QED Investors,500 Startups,N/A,$8.4M Series A,DEC '18,QED Investors,500 FinTech,N/A,N/A,N/A,N/A,N/A,N/A
DRIZLY,Not Acquired,$2.5M Seed,MAY '14,VaynerRSE,Suffolk Equity Partners,N/A,$13M Series A,MAY '15,Polaris Partners,Suffolk Equity Partners,N/A,$17M Series B,AUG '16,Polaris Partners,N/A,N/A
ALTO,Not Acquired,$23M Series B,JUN '17,Jackson Square Ventures,Meritech Capital,N/A,$50M Series C,DEC '18,Jackson Square Ventures,Greenoaks Capital,N/A,N/A,N/A,N/A,N/A,N/A
